id,sourcePort,destinationPort,distance
429,Dumai (DMI),Labuan (LBN),1020
430,Dumai (DMI),Malacca (MAL),85
431,Dumai (DMI),Maptaphut (MAT),1070
432,Dumai (DMI),Century Harbour (MHI),1029
433,Dumai (DMI),Pasir Gudang (PAS),240
434,Dumai (DMI),Port Klang (PKL),170
435,Dumai (DMI),Palembang (PLB),670
436,Dumai (DMI),Panjang (PNJ),1050
437,Dumai (DMI),Pontianak (POT),510
438,Dumai (DMI),Singapore (SG),200
439,Dumai (DMI),Sungai Guntung (SGGT),20
440,Dumai (DMI),Songkhla (SK),696
441,Dumai (DMI),Sampit (SMQ),960
442,Dumai (DMI),Son Duong (SOD),1480
443,Dumai (DMI),Sriracha Harbor (SRC),1012
444,Dumai (DMI),Tawau (TAW),1610
445,Dumai (DMI),Terengganu (TGG),490
446,Dumai (DMI),Tha Sala (TSL),780
447,Dung Quat (DQT),Bintulu (BIN),780
448,Dung Quat (DQT),Bangkok (BK),1030
449,Dung Quat (DQT),Bang Sapan (BS),955
450,Dung Quat (DQT),Danang (DAD),70
451,Dung Quat (DQT),Godau port  (GDP),428
452,Dung Quat (DQT),Kemaman (KMN),806
453,Dung Quat (DQT),Kuantan (KT),820
454,Dung Quat (DQT),Kuching (KUC),832
455,Dung Quat (DQT),Labuan (LBN),722
456,Dung Quat (DQT),Maptaphut (MAT),942
457,Dung Quat (DQT),Pasir Gudang (PAS),953
458,Dung Quat (DQT),Phumy (PHU),437
459,Dung Quat (DQT),Port Klang (PKL),1160
460,Dung Quat (DQT),Songkhla (SK),855
461,Dung Quat (DQT),Son Duong (SOD),215
462,Dung Quat (DQT),Surat Thanee (SRT),940
463,Dung Quat (DQT),Tagbilaran (TAG),1005
464,Dung Quat (DQT),Tawau (TAW),1000
465,Dung Quat (DQT),Tanjong Manis (TGM),815
466,Dung Quat (DQT),Vung Tau (VUT),407
467,Davao (Sasa Wharf) (DVO),Bintulu (BIN),1026
468,Davao (Sasa Wharf) (DVO),Bangkok (BK),2047
469,Davao (Sasa Wharf) (DVO),Bang Sapan (BS),1901
470,Davao (Sasa Wharf) (DVO),Kemaman (KMN),1526
471,Davao (Sasa Wharf) (DVO),Kuantan (KT),1526
472,Davao (Sasa Wharf) (DVO),Labuan (LBN),880
473,Davao (Sasa Wharf) (DVO),Songkhla (SK),1701
474,Davao (Sasa Wharf) (DVO),Son Duong (SOD),1557
475,Davao (Sasa Wharf) (DVO),Surat Thanee (SRT),1839
476,Davao (Sasa Wharf) (DVO),Tacloban (TAC),430
477,Davao (Sasa Wharf) (DVO),Tawau (TAW),575
478,Davao (Sasa Wharf) (DVO),Tanjong Manis (TGM),1170
479,Fangcheng (FAN),Belawan (BRW),1750
480,Fangcheng (FAN),Haiphong (HPH),170
481,Fangcheng (FAN),Surabaya (SUBY),1880
482,Mawei Fuzhou (FOC),Ningde (NDE),140
483,Mawei Fuzhou (FOC),Pasir Gudang (PAS),2000
484,Futong (FTG),Bangpakong (BAK),1045
485,Futong (FTG),Bintulu (BIN),670
486,Futong (FTG),Bangkok (BK),1070
487,Futong (FTG),Bang Sapan (BS),930
488,Futong (FTG),Godau port  (GDP),780
489,Futong (FTG),HO CHI MINH (HCM),785
490,Futong (FTG),Jakarta (JAK),580
491,Futong (FTG),K.K. Kota Kinabalu (KK),910
492,Futong (FTG),Kemaman (KMN),390
493,Futong (FTG),Kuantan (KT),270
494,Futong (FTG),Kuching (KUC),510
495,Futong (FTG),Labuan (LBN),840
496,Futong (FTG),Maptaphut (MAT),920
497,Futong (FTG),Century Harbour (MHI),990
498,Futong (FTG),Pasir Gudang (PAS),250
499,Futong (FTG),Port Klang (PKL),250
500,Futong (FTG),Palembang (PLB),310
501,Futong (FTG),Panjang (PNJ),690
502,Futong (FTG),Pontianak (POT),770
503,Futong (FTG),Singapore (SG),260
504,Futong (FTG),Sungai Guntung (SGGT),100
505,Futong (FTG),Songkhla (SK),690
506,Futong (FTG),Sampit (SMQ),770
507,Futong (FTG),Son Duong (SOD),1430
508,Futong (FTG),Tawau (TAW),1340
509,Futong (FTG),Terengganu (TGG),450
510,Futong (FTG),Tha Sala (TSL),750
511,Godau port  (GDP),Bangpakong (BAK),652
512,Godau port  (GDP),Bahodopi (BHDP),1970
513,Godau port  (GDP),Bintulu (BIN),580
514,Godau port  (GDP),Bangkok (BK),671
515,Godau port  (GDP),Balikpapan (BPN),1320
516,Godau port  (GDP),Bang Sapan (BS),600
517,Godau port  (GDP),Cat Lai (CLI),55
518,Godau port  (GDP),Cai Lan (CLN),870
519,Godau port  (GDP),Cam Pha (CPH),818
